timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt
10235302,0.00218236,0.00269697,0.00050277,3998,0,0.429756,-0.00341413,-9.71262,3998
10239309,-6.03054e-05,0.000576698,0.00155335,4007,0,0.434183,0.0296991,-9.71897,4007
10243302,-0.000378596,-0.00133309,0.0011434,3993,0,0.397593,0.0300279,-9.76196,3993
10247302,0.00199815,-0.000189557,-0.00138538,4000,0,0.426532,-0.00732012,-9.7193,4000
10251301,0.000917405,0.00343555,4.88449e-05,3999,0,0.43543,0.0290509,-9.70995,3999
10255301,0.00212121,1.40755e-05,-0.00212816,4000,0,0.418258,0.0558697,-9.73316,4000
10259301,-0.00038455,0.00218552,0.00185114,4000,0,0.427801,0.00805768,-9.70269,4000
10263308,0.000872966,0.00293122,0.00292872,4007,0,0.440885,0.00768562,-9.69009,4007
10267301,0.00111019,0.000475609,0.00136114,3993,0,0.429392,0.0286752,-9.7472,3993
10271301,0.00410487,0.000574963,0.000236008,4000,0,0.425986,0.000535518,-9.74124,4000
10275301,0.00347243,0.00109841,-9.88878e-05,4000,0,0.446731,0.00193349,-9.69666,4000
10280111,0.0017656,0.000781393,-0.00185836,4810,0,0.43594,0.0222661,-9.71841,4810
10284105,0.00177346,-0.000607174,-0.000639986,3994,0,0.431962,0.0682676,-9.73046,3994
10288105,0.00320818,-0.00116373,-0.00369725,4000,0,0.431425,0.0198403,-9.72178,4000
10292105,0.00228825,0.00153651,0.000947196,4000,0,0.437066,0.0269714,-9.71362,4000
10296105,0.00205944,-0.00015589,0.00191308,4000,0,0.418939,0.0611888,-9.75004,4000
10300105,0.00410213,-0.00177607,0.000465382,4000,0,0.414748,0.0132495,-9.76352,4000
10304105,0.00369241,0.00226481,-0.000532613,4000,0,0.448474,0.00854062,-9.74476,4000
10308105,0.00115332,0.00108877,-0.00141117,4000,0,0.420514,0.0600847,-9.75759,4000
10312105,0.00464041,-0.000705044,-0.000170529,4000,0,0.420224,0.014021,-9.74144,4000
10316105,0.00196427,0.0019611,0.00114616,4000,0,0.443211,0.00121046,-9.71381,4000
10320105,0.00186385,0.00164241,0.000830385,4000,0,0.409675,0.0434276,-9.70516,4000
10324109,0.000130687,0.000908357,0.00251087,4004,0,0.39637,0.0142811,-9.71617,4004
10328105,0.000385767,0.00279832,-0.000162743,3996,0,0.428697,-0.00465526,-9.66863,3996
10332105,0.000359404,-0.000369087,0.0021026,4000,0,0.427341,0.0419786,-9.70155,4000
10336105,0.00160017,-0.00158948,-0.00308297,4000,0,0.419213,0.0412172,-9.73937,4000
10340105,0.000494577,0.00119656,-0.000467632,4000,0,0.446086,-0.00925735,-9.71852,4000
10344105,0.00122802,0.00334718,0.000912592,4000,0,0.446137,0.0231696,-9.71392,4000
10348105,-0.000279338,-0.000801248,0.00145832,4000,0,0.415884,0.0464982,-9.74091,4000
10352105,0.00187653,-0.00135237,0.000111368,4000,0,0.425323,0.0042331,-9.70173,4000
10356105,0.00241568,-0.00135237,-0.000412279,4000,0,0.443077,0.0285141,-9.70165,4000
10360106,0.000256141,-0.000265304,0.00157017,4001,0,0.407036,0.0496604,-9.75006,4001
